title,genre,budget,revenue,roi,success,popularity,runtime,vote_average,has_missing,is_duplicate_title,invalid_budget_flag,invalid_revenue_flag,budget_outlier_flag,revenue_outlier_flag,popularity_outlier_flag,runtime_outlier_flag,vote_average_outlier_flag
Movie 1,Romance,57755036,107323371,0.8582513047000785,1,60.3773601820793,98,6.611888117846714,False,False,False,False,False,False,False,False,False
Movie 2,Drama,192100010,342896533,0.7849896676215686,1,86.28985701546246,96,7.184686968985837,False,False,False,False,False,False,False,False,False
Movie 3,Comedy,128521863,253206827,0.9701459431847794,1,86.99532434251914,148,3.5429778665752005,False,False,False,False,False,False,False,False,False
Movie 4,Drama,156299516,89635602,-0.42651388632579,0,72.71009622662443,118,5.985175896164717,False,False,False,False,False,False,False,False,False
Movie 5,Comedy,148532820,221133868,0.48878791906058205,1,74.82958452853647,161,4.578480179545145,False,False,False,False,False,False,False,False,False
Movie 6,Romance,134224038,270524761,1.0154717815895242,1,56.234817069919366,150,7.346318135988268,False,False,False,False,False,False,False,False,False
Movie 7,Adventure,36788921,73368473,0.9943089116421762,1,58.88214092641665,160,4.137333051221643,False,False,False,False,False,False,False,False,False
Movie 8,Action,134120466,332939335,1.4823902341645607,1,14.231407559641282,118,8.353427493228638,False,False,False,False,False,False,False,False,False
Movie 9,Horror,161953558,346179511,1.137523344809751,1,44.94205965370881,115,5.585648019109962,False,False,False,False,False,False,False,False,False
Movie 10,Horror,94410762,281375537,1.980333290816994,1,45.626852104750014,119,4.188018181845321,False,False,False,False,False,False,False,False,False
Movie 11,Action,92090292,111395762,0.2096363208404204,1,95.89128573110628,124,5.628130778101976,False,False,False,False,False,False,False,False,False
Movie 12,Horror,166850211,233236168,0.3978775729567402,1,43.677599399705656,83,5.452462576851167,False,False,False,False,False,False,False,False,False
Movie 13,Horror,77737383,113466874,0.45961787779760993,1,55.38492184537301,104,5.573513756962262,False,False,False,False,False,False,False,False,False
Movie 14,Unknown,89358551,148740169,0.6645320155202606,1,53.79188852863115,148,6.513367760984681,False,False,False,False,False,False,False,False,False
Movie 15,Adventure,112190146,290571935,1.5899951587548518,1,64.03940998738838,109,6.127042349481226,False,False,False,False,False,False,False,False,False
Movie 16,Drama,89409749,97410154,0.08948023106518284,1,75.07505030185769,155,3.898662790085416,False,False,False,False,False,False,False,False,False
Movie 17,Animation,140199233,342086201,1.4400005169785772,1,23.27914574091634,147,3.393474435879818,False,False,False,False,False,False,False,False,False
Movie 18,Action,149171095,225736957,0.5132754572861451,1,53.343717490745135,167,7.376492692359243,False,False,False,False,False,False,False,False,False
Movie 19,Romance,86652971,173707878,1.004638456077865,1,82.76585302428701,108,6.358304615569881,False,False,False,False,False,False,False,False,False
